	Node1	Node2
970	PF00005	PF00664
971	PF00005	PF06472
972	PF00664	COG4178
973	PF00664	PF00005
974	PF00664	PF06472
975	PF06472	COG4178
976	PF06472	PF00005
977	PF06472	PF00664
978	COG4178	TIGR00954
979	COG4178	PF00005
980	COG4178	PF06472
981	TIGR00954	COG4178
982	TIGR00954	PF00005
983	TIGR00954	PF06472
984	PF00005	COG4178
985	PF00005	TIGR00954
986	PF00005	PF06472
987	PF06472	COG4178
988	PF06472	TIGR00954
989	PF06472	PF00005
990	COG4178	PF00005
991	COG4178	PF06472
992	PF00005	COG4178
993	PF00005	PF06472
994	PF06472	COG4178
995	PF06472	PF00005
996	COG0488	PF00005
997	COG0488	PF12848
998	PF00005	COG0488
999	PF00005	PF12848
1000	PF12848	COG0488
1001	PF12848	PF00005
1002	COG0488	PF00005
1003	COG0488	PF12848
1004	PF00005	COG0488
1005	PF00005	PF12848
1006	PF12848	COG0488
1007	PF12848	PF00005
1008	COG0488	PF00005
1009	COG0488	PF12848
1010	PF00005	COG0488
1011	PF00005	PF12848
1012	PF12848	COG0488
1013	PF12848	PF00005
1014	COG0488	PF00005
1015	COG0488	PF12848
1016	PF00005	COG0488
1017	PF00005	PF12848
1018	PF12848	COG0488
1019	PF12848	PF00005
1020	COG0488	PF00005
1021	COG0488	PF12848
1022	PF00005	COG0488
1023	PF00005	PF12848
1024	PF12848	COG0488
1025	PF12848	PF00005
1026	PF01061	PF00005
1027	PF01061	COG1131
1028	PF01061	COG0842
1029	PF00005	PF01061
1030	PF00005	COG1131
1031	PF00005	COG0842
1032	COG1131	PF01061
1033	COG1131	PF00005
1034	COG1131	COG0842
1035	COG0842	PF01061
1036	COG0842	PF00005
1037	COG0842	COG1131
1038	PF01061	PF00005
1039	PF01061	PF06422
1040	PF00005	PF01061
1041	PF00005	PF06422
1042	PF06422	PF01061
1043	PF06422	PF00005
1044	PF00005	PF01061
1045	PF00005	TIGR00955
1046	PF00005	COG1131
1047	PF01061	PF00005
1048	PF01061	TIGR00955
1049	PF01061	COG1131
1050	TIGR00955	PF00005
1051	TIGR00955	PF01061
1052	TIGR00955	COG1131
1053	COG1131	PF00005
1054	COG1131	PF01061
1055	COG1131	TIGR00955
1056	PF01061	PF00005
1057	PF01061	COG0842
1058	PF00005	PF01061
1059	PF00005	COG0842
1060	COG0842	PF01061
1061	COG0842	PF00005
1062	PF01061	PF00005
1063	PF01061	COG1131
1064	PF01061	COG0842
1065	PF00005	PF01061
1066	PF00005	COG1131
1067	PF00005	COG0842
1068	COG1131	PF01061
1069	COG1131	PF00005
1070	COG1131	COG0842
1071	COG0842	PF01061
1072	COG0842	PF00005
1073	COG0842	COG1131
1074	PF01061	PF00005
1075	PF01061	COG0842
1076	PF01061	PF08370
1077	PF00005	PF01061
1078	PF00005	COG0842
1079	PF00005	PF08370
